company_name,day,total_amount
MiPasajefy,2019-02-07,4747.5
MiPasajefy,2019-03-24,4153.06
MiPasajefy,2019-01-21,4250.08
Muebles chidos,2019-03-17,22818.0
Muebles chidos,2019-05-07,3534.0
MiPasajefy,2019-02-26,5577.6
MiPasajefy,2019-02-28,7457.03
MiPasajefy,2019-04-14,4579.12
MiPasajefy,2019-01-22,3650.23
MiPasajefy,2019-01-03,6735.66
MiPasajefy,2019-05-06,44618.73
MiPasajefy,2019-03-26,5703.31
MiPasajefy,2019-03-23,5311.47
MiPasajefy,2019-03-11,5575.11
MiPasajefy,2019-02-14,7596.14
Muebles chidos,2019-05-12,2199.0
Muebles chidos,2019-04-29,12188.1
MiPasajefy,2019-02-24,6196.91
Muebles chidos,2019-02-18,26694.0
MiPasajefy,2019-02-10,7232.52
Muebles chidos,2019-01-29,10169.0
MiPasajefy,2019-01-27,3181.81
Muebles chidos,2019-02-28,11416.05
MiPasajefy,2019-03-22,7654.85
MiPasajefy,2019-03-25,5696.35
Muebles chidos,2019-01-17,669.0
Muebles chidos,2019-03-07,7699.0
MiPasajefy,2019-04-01,72012.22
Muebles chidos,2019-05-17,35116.0
MiPasajefy,2019-05-20,633.54
MiPasajefy,2019-04-25,5572.99
MiPasajefy,2019-01-25,7717.01
Muebles chidos,2019-04-09,63863.0
MiPasajefy,2019-04-26,13828.33
MiPasajefy,2019-05-08,6130.01
MiPasajefy,2019-02-23,6436.2
MiPasajefy,2019-01-11,8646.82
Muebles chidos,2019-03-23,14999.0
MiPasajefy,2019-01-20,11928.39
Muebles chidos,2019-04-02,14626.2
MiPasajefy,2019-02-08,21312318779.34
Muebles chidos,2019-02-14,31542.0
MiPasajefy,2019-04-16,20817.4
Muebles chidos,2019-05-14,8099.1
MiPasajefy,2019-03-27,6182.32
MiPasajefy,2019-05-04,5068.12
MiPasajefy,2019-02-18,4629.34
MiPasajefy,2019-04-12,8196.95
Muebles chidos,2019-02-11,61558.1
MiPasajefy,2019-01-26,3815.99
MiPasajefy,2019-05-14,6425.5
MiPasajefy,2019-04-05,6845.22
MiPasajefy,2019-02-20,8734.27
MiPasajefy,2019-05-01,15867.75
MiPasajefy,2019-01-14,3884.07
MiPasajefy,2019-05-18,6148.64
MiPasajefy,2019-04-28,2807.61
MiPasajefy,2019-01-24,6264.4
MiPasajefy,2019-02-12,5689.62
MiPasajefy,2019-03-09,7858.89
Muebles chidos,2019-03-14,15489.0
MiPasajefy,2019-01-28,3992.72
Muebles chidos,2019-01-23,13828.0
MiPasajefy,2019-03-18,4050.64
MiPasajefy,2019-02-02,11379.42
MiPasajefy,2019-03-21,17121.73
MiPasajefy,2019-02-11,8218.57
MiPasajefy,2019-04-21,3066.18
MiPasajefy,2019-03-15,6252.16
MiPasajefy,2019-03-07,7357.27
Muebles chidos,2019-01-21,19592.0
MiPasajefy,2019-03-03,4042.4
MiPasajefy,2019-01-07,26754.3
MiPasajefy,2019-01-17,7058.25
Muebles chidos,2019-04-10,24792.15
MiPasajefy,2019-04-29,4394.71
MiPasajefy,2019-01-19,5225.46
MiPasajefy,2019-01-18,5218.34
MiPasajefy,2019-01-12,6456.2
MiPasajefy,2019-01-29,3813.49
MiPasajefy,2019-01-10,9040.75
MiPasajefy,2019-03-17,7092.73
MiPasajefy,2019-01-23,4882.16
MiPasajefy,2019-01-08,5963.77
MiPasajefy,2019-01-02,17044.92
MiPasajefy,2019-03-13,5070.42
MiPasajefy,2019-02-06,23992.03
MiPasajefy,2019-05-10,4342.51
MiPasajefy,2019-01-31,12046.01
MiPasajefy,2019-04-04,8223.58
Muebles chidos,2019-01-20,9998.0
MiPasajefy,2019-04-09,6282.19
MiPasajefy,2019-02-17,7621.24
Muebles chidos,2019-02-07,8546.0
Muebles chidos,2019-05-10,6248.0
MiPasajefy,2019-03-28,6154.82
MiPasajefy,2019-04-11,8038.59
MiPasajefy,2019-05-19,5554.0
MiPasajefy,2019-04-24,4852.77
MiPasajefy,2019-03-05,56161.46
MiPasajefy,2019-05-12,2945.59
MiPasajefy,2019-03-16,7634.38
Muebles chidos,2019-04-28,10438.0
Muebles chidos,2019-03-04,7698.0
Muebles chidos,2019-02-05,6748.0
MiPasajefy,2019-04-08,23556.05
Muebles chidos,2019-01-09,399.0
Muebles chidos,2019-03-08,14957.0
MiPasajefy,2019-04-22,4124.85
Muebles chidos,2019-04-18,6617.0
Muebles chidos,2019-03-01,15088.0
Muebles chidos,2019-03-05,13495.2
MiPasajefy,2019-02-16,5443.4
Muebles chidos,2019-04-24,2849.05
Muebles chidos,2019-04-23,11749.0
MiPasajefy,2019-03-19,4968.81
Muebles chidos,2019-04-30,39.0
